神探	8.4	2027938	2008
赎罪	8.2	1950148	2008
盒饭	7	5323138	2008
花花型警	5.7	3002819	2008
独行女侠	0	3406834	2008
法官老张轶事之阳光与土地	0	26306820	2008
独当一面	4.5	4122102	2008
志愿者	7.4	3008807	2008
食神争霸	6.3	2999306	2008
双食记	7	2052978	2008
江山美人	4.5	2988163	2008
冈拉梅朵	6.4	3003092	2008
PK.COM.CN	7.1	2286009	2008
国家宝藏：夺宝秘笈	7.1	1607471	2008
史前一万年	5.9	1949761	2008
表壳里的葵花	0	10606006	2008
山娃子	0	26356139	2008
左右	6.5	2059225	2008
三国之见龙卸甲	5.1	1947091	2008
黄石的孩子	6.7	1923474	2008
扣篮对决	5.9	2972591	2008
狂蟒惊魂	2.6	2363830	2008
5颗子弹	5.1	2256038	2008
立春	8	3036997	2008
无痕取证	0	6971304	2008
天边的情歌	0	3047962	2008
欢乐树	0	3047963	2008
功夫好男儿	2.6	4718275	2008
功夫之王	5.3	1939414	2008
钢铁侠	7.5	3231742	2008
刺青怨	6.1	3714078	2008
收藏记忆的角落	0	3732751	2008
樱桃	5.6	6529885	2008
扈三娘与矮脚虎王英	5	3400766	2008
买买提的2008	7.2	3024072	2008
青面兽杨志	5.2	3092178	2008
少林四小龙	3.8	3148548	2008
龙之战	4	2009342	2008
哈！哈！哈！	3.3	3070654	2008
时尚先生	4.7	3032912	2008
母亲的眼睛	0	6224544	2008
淘金俏冤家	5.8	1920730	2008
葫芦兄弟	8.8	1428576	2008
前方一百米调头	7.5	3111395	2008
赤松威龙	0	3091051	2008
27套礼服	6.7	2132120	2008
潜艇总动员	7.7	1303794	2008
追星家族	7.1	10766459	2008
萧锋血战陈庄	0	6710814	2008
纯爱	6.5	3268238	2008
深海寻人	5.8	2123510	2008
千钧。一发	7.9	2256043	2008
牛奶风尚	4.4	1926492	2008
爱上一条辉	0	3273447	2008
幸福	8.5	1418614	2008
义薄云天	8.1	1293891	2008
我人生中最精彩的瞬间	7.2	3072884	2008
盘尼西林1944	5.4	3115170	2008
鸟巢	5.7	25862279	2008
小胡同大尊严	0	3223648	2008
五品县令	0	3286398	2008
十七	6.5	3172056	2008
月亮	9	6313765	2008
尼玛家的女人们	7.6	3032543	2008
电竞之王	5.1	3114904	2008
幸福合同	6.7	4160433	2008
马石山十勇士	6.4	3239703	2008
阳光并不遥远	0	26384048	2008
筑梦2008	7.5	3266406	2008
精舞门	4.7	3212106	2008
野蛮的温柔	4.7	3065473	2008
旗鱼	7.4	1304608	2008
全民超人汉考克	6.7	1949312	2008
烽火	6.8	2972499	2008
赤壁(上)	6.3	1465829	2008
毕业那天，我们说相声	0	5296304	2008
八号地块	0	26377508	2008
无法结局	6.1	3286475	2008
极限救援	6.2	3118930	2008
破冰	7.2	10344754	2008
向钱冲，向前冲	2.3	3158751	2008
圣经里的秘密	8.3	2133323	2008
十全九美	5.1	3126196	2008
荒村客栈	3.9	2277019	2008
无敌浩克	6.8	1866475	2008
欣月童话	6.3	2277015	2008
嫁妆	6	6038021	2008
入殓师	8.8	2149806	2008
八十一格	3.5	3189967	2008
滚拉拉的枪	8.1	3193264	2008
李米的猜想	7.7	3230459	2008
俄玛之子	0	3757263	2008
保持通话	6.7	2359431	2008
画皮	6.5	2135981	2008
即日启程	7.1	3250377	2008
通缉令	7.4	1945336	2008
真功夫之奥运在我家	7.6	3210978	2008
在那茫茫的草原上	0	25834961	2008
有了心思你慢慢来	0	3254209	2008
丢失的耳朵	0	19966486	2008
强扭瓜不甜	0	26880996	2008
武术之少年行	5.4	1950530	2008
超强台风	4	3266407	2008
北京等待	3.8	2124750	2008
海上梦境	5.4	3071252	2008
大海道之灵舞狂沙	0	20435047	2008
007：大破量子危机	6.4	1946882	2008
颤栗的琴弦	0	26417327	2008
过界	5.6	19944289	2008
车逝	6	3239695	2008
点亮欧洲	0	3226568	2008
腊月雪	0	4781013	2008
马桶上的甜蜜生活	5.8	3222874	2008
永远是春天	0	3272188	2008
胡同里的阳光	7.3	2225498	2008
青松岭惊魂	0	10439247	2008
味道男女	4.6	3278775	2008
离爱只有半米远	6.1	3598368	2008
流年	0	4038311	2008
桃花运	5.7	3268216	2008
证人	7.2	3312344	2008
烈焰奇侠：黄金军团	6.7	1873750	2008
硬汉	6.1	2222995	2008
情归伊敏河	0	26383998	2008
梅兰芳	6.9	1891179	2008
结婚前奏曲	6.4	3993454	2008
叶问	7.5	3041806	2008
诡计	6	26665873	2008
半个萝卜一个坑	0	4843132	2008
生日快乐！安先生	0	3733896	2008
非诚勿扰	7.1	3313801	2008
小英雄雨来	4	3406827	2009
赤壁(下)	6.4	3291930	2009
天荒情未老	0	26754407	2009
家有喜事2009	5.4	3244162	2009
仙境之桥	7.8	1860745	2009
谁动了我的幸福	7.2	3538072	2009
动物狂欢节	0	2224986	2009
高兴	6.5	3607666	2009
李逵传奇	0	6717557	2009
玩命快递3	6.8	3018122	2009
夜玫瑰	6.6	3596506	2009
爱得起	5.7	3447595	2009
行动目标希特勒	7	2028647	2009
护宝娇娃	4.1	3558655	2009
七龙珠	9	1782006	2009
腾越殇魂	8.3	3609154	2009
常青藤	0	26384844	2009
好梦成真	0	2333792	2009
玩家	7.9	1309070	2009
